word
nigga
bitch
idiot
retard
moron
dumb
stupid
asshole
bastard
slut
whore
fuck
shit
cunt
dick
piss
prick
twat
wanker
crap
jerk
loser
sucker
scum
freak
douche
hoe
bimbo
jackass
fatass
